year,country,grouping,imports_total,exports_total,imports_intra,exports_intra,imports_USA,exports_USA,imports_CAN,exports_CAN,imports_MEX,exports_MEX
1991,MEX,06_15,1985941456,2214865610,1525014458,1957531391,1480274443,1846974477,44740015,110556914,-10,-10
1991,MEX,16_24,1103951854,826517280,665977022,647512374,657175793,629004778,8801229,18507596,-9,-9
1991,MEX,25_26,345329652,721999699,219376687,421745221,182681577,407536281,36695110,14208940,-2,-2
1991,MEX,2709,0,7694170563,0,4578659992,0,4499854061,0,78805931,-1,-1
1991,MEX,28_38,2904257896,1891836995,1929474904,798984078,1897706878,783915476,31768026,15068602,-11,-11
1991,MEX,39_40,2258942356,661079411,1876882556,413880834,1851742404,403271859,25140152,10608975,-2,-2
1991,MEX,41_43,275696350,139807523,221701167,124916551,218393998,122912921,3307169,2003630,-3,-3
1991,MEX,44_49,1996303175,509831680,1719096223,433870795,1647088261,431735712,72007962,2135083,-6,-6
1991,MEX,50_63,1938551939,1634636870,1157948036,1305155684,1143823933,1265468521,14124103,39687163,-14,-14
1991,MEX,64_67,209089464,231716872,90037364,200656580,89958124,196457708,79240,4198872,-4,-4
1991,MEX,68_71,508712505,911401325,369486341,726438527,367539727,687884699,1946614,38553828,-4,-4
1991,MEX,72_83,3620905539,1975403314,2631617498,1450857854,2560432891,1414576251,71184607,36281603,-12,-12
1991,MEX,84_85,15670798279,12354215182,11338597089,11542186338,11186785273,10801293617,151811816,740892721,-2,-2
1991,MEX,86,154427135,30158392,143538004,28061149,143488677,27476751,49327,584398,-1,-1
1991,MEX,87,4595250614,5639685980,3834205330,5360959163,3767494366,4291516301,66710964,1069442862,-1,-1
1991,MEX,88_89,939593474,156368455,671525787,93464200,655026774,92267804,16499013,1196396,-2,-2
1991,MEX,90_97,3010455445,2193925041,2422893050,2086807672,2392479738,2032330646,30413312,54477026,-8,-8
1991,MEX,all,100587656450,87257632278,75971197698,71228040305,74225963684,66687258691,1745234014,4540781614,-2,-2
1991,USA,01_05,9299933550,8554668993,3242584309,1985978899,-5,-5,2536884763,1031836923,705699546,954141976
1991,USA,06_15,9297906700,19205429065,2656416920,4010655142,-10,-10,809442443,2530380699,1846974477,1480274443
1991,USA,16_24,12351577442,12561412848,2488753488,2642290547,-9,-9,1859748710,1985114754,629004778,657175793
1991,USA,25_26,3029077577,2659767383,1407279824,905760136,-2,-2,999743543,723078559,407536281,182681577
1991,USA,2709,40324924139,57583006,9714316312,33683052,-1,-1,5214462251,33683052,4499854061,0
1991,USA,28_38,20769439325,34034679609,4547250078,7160981848,-11,-11,3763334602,5263274970,783915476,1897706878
1991,USA,39_40,10092325711,14917246587,3122554752,5917113732,-2,-2,2719282893,4065371328,403271859,1851742404
1991,USA,41_43,4785344195,2455520283,324610280,409176462,-3,-3,201697359,190782464,122912921,218393998
1991,USA,44_49,17501950262,19823183474,12784519160,6085962573,-6,-6,12352783448,4438874312,431735712,1647088261
1991,USA,50_63,29559385630,11605341381,2113989837,2913345143,-14,-14,848521316,1769521210,1265468521,1143823933
1991,USA,64_67,9709133849,740059343,279708515,221290846,-4,-4,83250807,131332722,196457708,89958124
1991,USA,68_71,13768950687,9242405560,2641158683,2184340369,-4,-4,1953273984,1816800642,687884699,367539727
1991,USA,72_83,23007729502,19101540937,8407883246,7971592862,-12,-12,6993306995,5411159971,1414576251,2560432891
1991,USA,84_85,115221960426,122640559398,24025932638,38057618359,-2,-2,13224639021,26870833086,10801293617,11186785273
1991,USA,86,1211785021,528221544,448620006,329645300,-1,-1,421143255,186156623,27476751,143488677
1991,USA,87,67761784910,31857169649,30497875607,21706256210,-1,-1,26206359306,17938761844,4291516301,3767494366
1991,USA,88_89,9032963785,33005349752,2338701120,2350161271,-2,-2,2246433316,1695134497,92267804,655026774
1991,USA,90_97,30787004155,28987057480,4369013783,7362661966,-8,-8,2336683137,4970182228,2032330646,2392479738
1991,USA,all,929480065917,812033823048,258465955635,244600012370,-2,-2,191778696944,170374048686,66687258691,74225963684
1992,CAN,01_05,1541434752,4214308913,973626608,2868444762,971438024,2785837566,-5,-5,2188584,82607196
1992,CAN,06_15,3712201067,5823930235,2718383297,1148302428,2623379371,1022681068,-10,-10,95003926,125621360
1992,CAN,16_24,3763663872,2822820781,2226575732,2278716140,2201668392,2260567628,-9,-9,24907340,18148512
1992,CAN,25_26,1109300120,3076423712,730271600,1016851838,721050034,986795838,-2,-2,9221566,30056000
1992,CAN,2709,3465946567,5539443880,206491640,5510766592,29089640,5510766592,-1,-1,177402000,0
1992,CAN,28_38,7563154458,5904465530,5675930719,4259791821,5659806797,4224540149,-11,-11,16123922,35251672
1992,CAN,39_40,5295056593,3859353234,4485188587,3278328768,4475784369,3248544768,-2,-2,9404218,29784000
1992,CAN,41_43,724639267,389527008,210698971,222558264,209219138,219516264,-3,-3,1479833,3042000
1992,CAN,44_49,5256080320,19140306943,4680892164,13343591859,4675505578,13295628847,-6,-6,5386586,47963012
1992,CAN,50_63,4655610430,1528930059,1941239835,1115221796,1900698788,1099477796,-14,-14,40541047,15744000
1992,CAN,64_67,788521686,110461929,140382915,98905158,134121882,98597158,-4,-4,6261033,308000
1992,CAN,68_71,2720768380,3446698675,1998063376,2103745160,1960567038,2102171208,-4,-4,37496338,1573952
1992,CAN,72_83,7161280593,10485681644,5659491804,7698195215,5622715626,7583878215,-12,-12,36776178,114317000
1992,CAN,84_85,37621497889,17678361705,29364651339,14159056912,28611144875,13983270912,-2,-2,753506464,175786000
1992,CAN,86,201764457,459858893,193451364,405093840,193065038,403427840,-1,-1,386326,1666000
1992,CAN,87,23737235923,29912464167,19351798193,29095737144,18398638769,28973758464,-1,-1,953159424,121978680
1992,CAN,88_89,2758856149,2509961813,1646734379,1960868304,1646446379,1943118624,-2,-2,288000,17749680
1992,CAN,90_97,7888072003,3425965417,5593622850,2798762102,5462764084,2775875491,-8,-8,130858766,22886611
1992,CAN,all,252331612344,270572131082,185227413835,210812356077,180577443585,208798450097,-2,-2,4649970250,2013905980
1992,MEX,01_05,1834920109,728371826,1295453995,660395279,1212846799,658206695,82607196,2188584,-5,-5
1992,MEX,06_15,2770698048,2256720997,2322027370,1994995202,2196406010,1899991276,125621360,95003926,-10,-10
1992,MEX,16_24,1367185530,815073194,955904207,678189606,937755695,653282266,18148512,24907340,-9,-9
1992,MEX,25_26,339497772,566575430,229092000,337618552,199036000,328396986,30056000,9221566,-2,-2
1992,MEX,2709,1242645,7667634089,1240605,4673482625,1240605,4496080625,0,177402000,-1,-1
1992,MEX,28_38,3718677402,2178958273,2503184578,1046869148,2467932906,1030745226,35251672,16123922,-11,-11
1992,MEX,39_40,4003138182,1331957497,3570954944,1055222234,3541170944,1045818016,29784000,9404218,-2,-2
1992,MEX,41_43,419397331,189226752,340228225,169029988,337186225,167550155,3042000,1479833,-3,-3
1992,MEX,44_49,2879946885,993946026,2492540542,916779296,2444577530,911392710,47963012,5386586,-6,-6
1992,MEX,50_63,3040912173,2328075267,2111423191,1918146333,2095679191,1877605286,15744000,40541047,-14,-14
1992,MEX,64_67,348769107,299756352,164781008,263193834,164473008,256932801,308000,6261033,-4,-4
1992,MEX,68_71,767263662,1107816162,595695763,931815651,594121811,894319313,1573952,37496338,-4,-4
1992,MEX,72_83,5801930909,2620734419,4542534075,1972698285,4428217075,1935922107,114317000,36776178,-12,-12
